abk_bahnhof,Name Haltestelle,lat,lon
FASS,Faido Sottocentrale,46.48756789,8.778452374
BDON,"Lausanne, Bourdonnette",46.52326604,6.589805203
KALP,Kalpetran,46.2140689,7.836961092
DIAB,Les Diablerets,46.35116,7.155020005
LAFA,La Faverge,46.35492999,7.147120003
ASKO,Amsteg Kabelstollen Ost,46.77514393,8.696919437
MSPI,Münsterlingen Spital,47.6320461,9.236116872
NGKF,"Niedergesteln, Kiesfang",46.31187878,7.781033406
LUISS,Luins Section de protection,46.43156086,6.28114433
BEAC,Beauregard,46.67342093,6.516003567
WM,Wimmis,46.6757222,7.635597452
NAEO,Nätschen Ost,46.64310335,8.62019505
DKDF,Däniken (Df),47.35638682,7.97876607
SIGG,Siggere,47.2430375,7.605034917
CHIC,Chiasso Confine,45.83083705,9.034090973
SED,Sedrun,46.68106715,8.769780989
VVPL,Vevey (funi),46.46863496,6.836005384
PTM,Punt Muragl,46.50968,9.881189995
RU,Rupperswil,47.40329025,8.126956365
EG,Egerkingen,47.31486484,7.798966473
ISEL,Iseltwald (See),46.71182156,7.962551863
BRLA,Breitlauenen,46.65984443,7.895584076
PLP,Planalp,46.77237313,8.019844936
OLBW,Olten Borntunnel West,47.3180321,7.893581221
GBGW,Gotthardbasistunnel West,46.37225907,8.927295613
FROS,Friedental Ostportal,47.06166968,8.292993905
DIPE,"Dieni, Pendicularas",46.66878504,8.744184617
CELS,Celerina Staz,46.50965,9.865120001
NGWM,"Niedergesteln, Wannumoos",46.31167495,7.785939186
VT,Villeret,47.16020368,7.019675173
EBLI,Ebligen,46.75262416,7.990036989
BRZW,Brienz West,46.75731228,8.020376643
ETZ,Etziken,47.18719914,7.643757884
BUSN,Busswil Nord,47.12405284,7.292518345
HBGO,Herzogenbuchsee Gishübeltu Ost,47.18810886,7.700919641
BGLP,"Bürglen UR, Dorf",46.87542219,8.66346401
PUN,Pully-Nord,46.51468146,6.657987607
TSTW,Thunstetten West,47.20763099,7.740005803
FUSP,Fürten (Spw),46.53994839,7.670599849
SCOO,Schönenwerd SO Ost (Spw),47.37785,8.008899995
FMUE,Fluhmühle (Abzw),47.05660071,8.286847621
BEAI,Bel-Air LEB,46.57868,6.60553
FFWE,Frauenfeld West,47.56759819,8.876236434
DISL,Disla Fehlerprofil,46.71087617,8.871072502
OE,Oey-Diemtigen,46.65988777,7.579152129
OBB,Oberburg,47.03960954,7.629342867
WBOL,Wangen bei Olten,47.34140067,7.86836052
DK,Däniken SO,47.35639009,7.978771345
TSCH,Trubschachen,46.92169996,7.846141964
TOUV,La Tour-de-Trême,46.60853,7.064240006
LSO,Lausanne-Ouchy (lac),46.50566202,6.62686177
MSCH,Münsterlingen-Scherzingen,47.63342664,9.227011765
RCY,Le Rocheray,46.62445724,6.25026366
TOL,Tolochenaz,46.4968401,6.475008979
BEMM,Belmont-sur-Montreux,46.44204,6.906119995
ENN,Enney,46.5654,7.085239996
FRUW,Frutigen Unterwerk,46.57964982,7.648938538
LSCG,Lausanne (Centre d'expl),46.51706431,6.631238534
TUIE,Tuilerie,46.5928,6.414219995
COSS01,Cossonay-Ville,46.61204442,6.509898866
FOU,Founex,46.32878361,6.194383369
EX,Exergillod,46.33711,7.038480004
BOT,Bottighofen,47.64070724,9.213104114
LAPU,La Punt Chamues-ch,46.57867,9.923329998
STGE,St. German (Abzw),46.30616549,7.844094896
VILN,Villnachern Neumühli,47.47110418,8.159830085
RUAZ,La Ruaz,46.25308,7.007719999
CHDF,Chiasso Smistamento (Df),45.83652079,8.999078287
GRV,Grandvaux,46.49694824,6.722650186
SEIN,Seon Industrieanlagen,47.3491593,8.150637828
ORIN,Orbe-Industrie (marchandises),46.72091715,6.541495739
DER,Derendingen,47.20250515,7.582108983
MHZB,BZ Mitholz Ost (LBT),46.5133885,7.658272277
SZEG,Salzegg,46.58426475,7.975526265
GOTS,Gottardo Sud (c bin),46.56822192,8.598390474
DOUY,La Douay,46.05249796,7.148738409
LNTO,Neustadttunnel Ost (Vzw),47.04437204,8.310839475
CAMS,Camorino Sud,46.15060841,8.987777532
